epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.959,1.14722,2.0822,1.2136,0.47898,0.2961,0.24611,0.13362,1.3304,2.44568,1.28123,0.000414519,0.000414519,0.000414519
2,567.661,1.21314,1.5377,1.22376,0.43771,0.34195,0.21816,0.12022,1.4318,2.37699,1.39497,0.000790042,0.000790042,0.000790042
3,913.994,1.2027,1.45673,1.23035,0.38242,0.4027,0.32488,0.18322,1.43141,2.27264,1.40367,0.00112431,0.00112431,0.00112431
4,1895.72,1.18617,1.3955,1.21786,0.46547,0.39313,0.313,0.17678,1.45104,2.1423,1.50036,0.00106437,0.00106437,0.00106437
5,2312.96,1.16004,1.33342,1.19354,0.43675,0.45995,0.37741,0.22965,1.35099,2.06301,1.37025,0.0010025,0.0010025,0.0010025
6,3286.78,1.11254,1.24699,1.19119,0.42458,0.53725,0.45545,0.27395,1.35636,1.88051,1.38186,0.000940625,0.000940625,0.000940625
7,4392.33,1.10526,1.20959,1.18082,0.42804,0.56144,0.45169,0.27009,1.34095,1.90583,1.38299,0.00087875,0.00087875,0.00087875
8,5195.31,1.118,1.16922,1.17017,0.41663,0.52534,0.45938,0.27773,1.32001,1.74743,1.34612,0.000816875,0.000816875,0.000816875
9,5428.66,1.06428,1.09722,1.15399,0.57468,0.5123,0.51161,0.3064,1.353,1.76987,1.38134,0.000755,0.000755,0.000755
10,5787.47,1.0355,1.03682,1.14343,0.48993,0.5488,0.49108,0.30615,1.30112,1.79762,1.33999,0.000693125,0.000693125,0.000693125
11,246.817,0.92556,0.93576,1.10846,0.49993,0.56778,0.52672,0.32569,1.35316,1.7662,1.37157,0.00063125,0.00063125,0.00063125
12,482.268,0.90338,0.86629,1.06956,0.51198,0.51518,0.47389,0.29765,1.26927,1.76887,1.31033,0.000569375,0.000569375,0.000569375
13,725.301,0.88883,0.83545,1.07369,0.59299,0.49416,0.54053,0.34797,1.27694,1.7139,1.30531,0.0005075,0.0005075,0.0005075
14,967.889,0.87289,0.79273,1.07054,0.53586,0.58681,0.547,0.3519,1.26338,1.63383,1.31571,0.000445625,0.000445625,0.000445625
15,1216.17,0.84873,0.76084,1.04702,0.572,0.60323,0.58335,0.38054,1.24244,1.6038,1.3037,0.00038375,0.00038375,0.00038375
16,1463.25,0.81106,0.71988,1.04463,0.56686,0.5625,0.56454,0.36424,1.25426,1.60795,1.31815,0.000321875,0.000321875,0.000321875
17,1715.65,0.80515,0.69757,1.01757,0.57486,0.61874,0.59909,0.39114,1.23379,1.58264,1.29985,0.00026,0.00026,0.00026
18,1963.56,0.78248,0.6699,1.01506,0.6106,0.62162,0.63518,0.41961,1.23015,1.39852,1.30067,0.000198125,0.000198125,0.000198125
19,2279.09,0.79121,0.65421,1.00818,0.5766,0.64982,0.62763,0.40769,1.23647,1.42954,1.30636,0.00013625,0.00013625,0.00013625
20,2567.53,0.76938,0.63017,1.00627,0.61463,0.6223,0.63296,0.41759,1.21291,1.43383,1.2921,7.4375e-05,7.4375e-05,7.4375e-05
